idx,smiles,homolumogap
0,Cc1ccc(cc1)C1C=c2cnccc2=NC1=O,3.047675126
1,COc1cc(OC)ccc1C=CN(C(=O)C)C,4.410965517
2,C=CCN(C(=O)C)C=Cc1ccccc1C,4.639541151
3,C=CCN(C(=O)C)C=Cc1ccccc1F,4.492599672
4,C=CCN(C(=O)C)C=Cc1ccccc1Cl,4.612329766
5,CCN(C(=O)C)C=Cc1ccccc1Cl,4.478993979
6,COC(=O)CCC1OC(C(C1O)O)OC,7.102171498
7,CNC(NN=C(c1ccccn1)C)S,4.242254929
8,NC(NN=C(c1ccccn1)C)S,4.280350868
9,O=C1C=CC(=C2N=NC(=S)N2N)C(=C1)N,1.959219724
10,CCCN1C(Cl)C(N(=O)=O)C(=NC1=O)O,4.174226467
11,CC1CC(C(=C)C)c2c(C1C)cc(c(c2)C)O,5.776977046
12,CC1=C2C(N=N1)c1cccnc1N(C2=O)O,3.684421536
13,OC(=CC(=O)C)CC(=CC(=O)C)O,4.936145248
14,OC(=O)C=NNOCc1ccncc1,5.093971281
15,OCC1CC(NN=C1O)c1ccccc1,5.006894849
16,O=Cc1ccc(cc1)C=NN1CCCCC1,3.755171137
17,OCC1(C#C)C=CC(C1)N1CCC(=NC1=O)O,5.676294921
18,OCC1(C#C)C=CC(C1)NC1CCN=C(N1)O,5.711669722
19,CC(OC(=O)C=Cc1ccc(c(c1)O)O)O,4.144293943
20,OCCCOC(=O)C=Cc1ccc(c(c1)O)O,4.100755727
21,OC1CCN(CC1O)C(c1ccccc1)C,5.994668127
22,OCCN1CCC(C(C1)O)O,7.864090279
23,CCCCN1CCC(C(C1)O)O,7.575649598
24,CCCN1CCC(C(C1)O)O,7.613745537
25,CCC(SC(=N)NN=Cc1ccncc1)C,4.443619179
26,Fc1ccc(cc1)NCC1N=NC(=N1)S,2.955156416
27,S=c1[nH]n2c(n1)N=C1C2C=CC=C1,2.397323023
28,OCC1(C)CC(C=C1C)N1CCC(=NC1=O)O,5.567449381
29,OCC1(C)CC(C=C1C)n1ccc(=N)nc1O,5.137509497
30,NN1CCN(CC1)NC=C1C=CC(=O)C(=C1)O,3.447682486
31,CC(=Cc1ccccc1)C1N=C(N=C1O)S,5.134788359
32,OC1=NC(=NC1C=Cc1ccccc1)S,4.944308664
33,CN(c1ccccc1)N=Cc1cscc1,4.636820013
34,CN(NC=C1C(=Nc2c1cccc2)C)C,4.225928098
35,CC(=O)SCC(C(=N)O)N,5.589218489
36,OC1NC2C(N1)C(=O)NC(=O)N2,5.344316024
37,CCC1CC=C(C(=O)C1)c1ccccc1,4.78648263
38,CCC1CC(O)C(C(=O)C1)c1ccccc1,5.825957539
39,CCCCCC1CC(O)CC(=O)C1,6.027321789
40,CCC(CC(OC)OC)C=Cc1ccccc1,5.099413558
41,O1CCN(CC1)N=CC#CC1=CCCCC1,4.220485821
42,O=CCC(C(=C)C)C=CCC(=O)OC,5.991946988
43,CC(=O)CCCCCC(C(C(O)C)O)O,6.337531578
44,COC(CC(C(=C)C)CC=O)OC,5.962014464
45,COC(=O)CC(C(=C)C)CC(OC)OC,6.759308046
46,C=CCCCCCCC(C(C(O)C)O)O,7.586534152
47,ClCC1C2CCC(C1CCl)C2,7.929397604
